App_Name,App_Description
就诊问问,医疗健康问问，随口问一问
我的Yumi,Yumi是一款AI趣味社交内容生成小程序
NexT Todo,专注于实现高效的时间管理
Arrrt-随身艺术馆,每天邂逅一幅名画（iOS&Android）
Emote — AI智能聊天笔记,AI赋能笔记，简单好用又智能
吧唧Go,年轻人开店新选择
Lightmeter35,胶片摄影的测光小工具
灵羽助手,在任何应用中使用AI，一键翻译/润色/回复/debug
flomo浮墨笔记,持续不断记录，意义自然浮现
Tico-贴抠,快捷抠图｜制作拼贴图
新枝Newledge,AI 时代的个人助理（努力进化中）
CoChatter Keyboard,英语AI prompt输入法
图聊-用聊天的方式翻相册,用“人话”搜索照片文字或者画面
iTab新标签页,一个无广告干扰的小组件新标签页
BBLOG - 数字名片,仅凭一个链接，即可聚合你的所有信息
会读ReadFlow,你的 AI 文章摘要助手，一键转发解决你的信息焦虑
爱语法,智能分析英语语法，爱上英语语法，从未如此热爱英语。
瓦尔登 - 日程管理/目标管理/笔记备忘录,终极个人管理应用
Nero Lens智图-画质增强&AI作图,一键图像画质增强，图片上色修复，AI无损图片放大，AI图生图
Xmind思维导图,一天到晚只做思维导图的一切
一念,复制就是保存，摘抄灵感助手
心光,AI 生活记录伴侣
数字鸭AI助手,最懂大学生的AI助手
禅道解压-腕上解忧店Watch App,超酷的苹果手表放松神器，年轻人的精神稳定十件套
数字升产力,真实、优质、中立的生产力工具社区
好事发生,记录并珍藏每个好消息，好事有引力。
美视频,发现和分享美好世界
搞设计办公,助力高效办公，拥有海量在线效率工具
Zettelbox,你那些优秀的想法，需要被更好地管理
NeckGo-颈椎治愈神器,把智能耳机与手表变成健身环，玩游戏的方法改善坐姿和放松颈椎
墙裂要球,充满随机性的击墙壁球游戏
小组件盒子,小组件和灵动岛等丰富功能
米画师,每个人都是梦世界的创造师！
遇见夏天 - 干净的树洞聊天,有时候只是想有个人聊聊天
Effie,优雅地记录和写作
雨燕投屏-跨平台轻松投屏，高效传输,大破屏幕限制，随时随地，一键极速投屏
Many·多少,有意思无压力的专注次数记录的计数器应用
BibiGPT · AI 音视频助理,AI 音视频内容一键总结 & 对话
To Me,人家才不是简单的日记本！
Music Mate,音乐爱好者的小世界
Pixcall,支持同步本地优先的素材管理软件
专注大作战,有趣的游戏化、社交化、在线化专注学习工具
小抽屉,安卓沉浸式翻译工具
时间印迹,记录专注，知道时间都花在哪了
潮汐,一个连接自然与自己的正念空间
Chatmind,AI 原生的思维导图和头脑风暴软件
金橘记账,记账和资产管理助手
有知有行,投资，是为了更好的生活
写点啥,写点啥可以帮你迈出写作的第一步，让写作变成一件有趣儿的事。
GIF表情包制作大师,视频转GIF动图表情包制作神器
小秋AI,支持自己创建AI应用，适配移动端与PC端的AI助手
